"sku","img_url"
"P14","photos/products/P14_1.jpg"
"P12","photos/products/P12_1.jpg"
"P9","photos/products/P9_1.jpg"
"P3","photos/products/P3_1.jpg"
"D12","photos/products/D12_1.jpg"
"D9","photos/products/D9_1.jpg"
"T107","photos/products/T107_1.jpg"
"T106","photos/products/T106_1.jpg"
"T105","photos/products/T105_1.jpg"
"T103","photos/products/T103_1.jpg"
"T102","photos/products/T102_1.jpg"
"S102","photos/products/S102_1.jpg"
"S101","photos/products/S101_1.jpg"
"P106","photos/products/P106_1.jpg"
"P105","photos/products/P105_1.jpg"
"P102","photos/products/P102_1.jpg"
"P101","photos/products/P101_1.jpg"
"J101","photos/products/J101_1.jpg"
"D101","photos/products/D101_1.jpg"
"TM119","photos/products/TM119_1.jpg"
"T9","photos/products/T9_1.jpg"
"T7","photos/products/T7_1.jpg"
"T6","photos/products/T6_1.jpg"
"T3","photos/products/T3_1.jpg"
"S8","photos/products/S8_1.jpg"
"P18","photos/products/P18_1.jpg"
"D24","photos/products/D24_1.jpg"
"D22","photos/products/D22_1.jpg"
"D6","photos/products/D6_1.jpg"
"T70","photos/products/T70_1.jpg"
"T69","photos/products/T69_1.jpg"
"T45","photos/products/T45_1.jpg"
"T44","photos/products/T44_1.jpg"
"T42","photos/products/T42_1.jpg"
"T40","photos/products/T40_1.jpg"
"T14","photos/products/T14_1.jpg"
"T10","photos/products/T10_1.jpg"
"S6","photos/products/S6_1.jpg"
"P16","photos/products/P16_1.jpg"
"P26","photos/products/P26_1.jpg"
"P21","photos/products/P21_1.jpg"
"J102","photos/products/J102_1.jpg"
"D33","photos/products/D33_1.jpg"
"D32","photos/products/D32_1.jpg"
"T55","photos/products/T55_1.jpg"
"T54","photos/products/T54_1.jpg"
"T53","photos/products/T53_1.jpg"
"T4","photos/products/T4_1.jpg"
"S9","photos/products/S9_1.jpg"
"S5","photos/products/S5_1.jpg"
"S2","photos/products/S2_1.jpg"
"D16","photos/products/D16_1.jpg"
"D11","photos/products/D11_1.jpg"
"D10","photos/products/D10_1.jpg"
"D4","photos/products/D4_1.jpg"
